id,sourceUrl,jobTitle,displayJobTitle,promptJobTitle,socCode,description
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-tile-setter-3-year-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Tile Setter (3 Year) Apprentice,Tile Setter,Tile Setter (),47-3011.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and buildings. They measure spaces, cut tile, spread adhesive, set pieces in straight patterns, grout joints, and seal surfaces so they look neat and stay in place. Their work builds durable, easy-to-clean surfaces and helps keep rooms protected from wear and moisture."
bricklayers-allied-craftworkers-jac-local-2-utica-0-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-utica-0,"Bricklayer, Mason and Plasterer Apprentice","Bricklayer, Mason, and Plasterer","Bricklayer, Mason, and Plasterer",47-2021.00,"A Bricklayer, Mason, and Plasterer builds and finishes walls, floors, chimneys, and other surfaces using brick, stone, concrete blocks, mortar, and plaster. They measure, cut, spread, stack, smooth, and repair materials by hand, often working from scaffolds or ladders. Their work builds strong structures, protects surfaces, and keeps buildings safe and weather resistant."
bricklayers-allied-craftworkers-jac-local-2-utica-0-pointer-caulker-and-cleaner-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-utica-0,"Pointer, Caulker and Cleaner Apprentice","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-2061.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of brick, stone, and concrete buildings. They rake out damaged mortar, pack in new mortar between joints, seal cracks and gaps with caulk, and wash or sandblast surfaces to remove grime and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
bricklayers-allied-craftworkers-local-2-albany-0-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-albany-0,"Bricklayer, Mason and Plasterer Apprentice","Bricklayer, Mason, and Plasterer","Bricklayer, Mason, and Plasterer",47-2021.00,"A Bricklayer, Mason, and Plasterer builds and finishes walls, floors, chimneys, and other surfaces using brick, stone, concrete blocks, mortar, and plaster. They measure, cut, spread, stack, smooth, and repair materials by hand, often working from scaffolds or ladders. Their work builds strong structures, protects surfaces, and keeps buildings safe and weather resistant."
bricklayers-allied-craftworkers-local-2-albany-0-pointer-caulker-and-cleaner-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-albany-0,"Pointer, Caulker and Cleaner Apprentice","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-2061.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of brick, stone, and concrete buildings. They rake out damaged mortar, pack in new mortar between joints, seal cracks and gaps with caulk, and wash or sandblast surfaces to remove grime and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
bricklayers-allied-craftworkers-local-2-albany-0-tile-marble-and-terrazzo-finisher-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-albany-0,"Tile, Marble and Terrazzo Finisher Apprentice","Tile, Marble, and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher",47-2044.00,"A Tile, Marble, and Terrazzo Finisher prepares floors, walls, countertops, and stairs for tile, marble, or terrazzo installation. They spread mortar, level surfaces, patch holes, grind edges, polish finishes, and clean away extra material so everything fits smoothly. Their work helps surfaces look neat, last longer, and stay safe and durable in everyday use."
bricklayers-allied-craftworkers-local-2-albany-0-tile-setter-3-year-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-albany-0,Tile Setter (3 Year) Apprentice,Tile Setter,Tile Setter (),47-3011.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and buildings. They measure spaces, cut tile, spread adhesive, set pieces in straight patterns, grout joints, and seal surfaces so they look neat and stay in place. Their work builds durable, easy-to-clean surfaces and helps keep rooms protected from wear and moisture."
bricklayers-allied-craftworkers-local-2-ogdensburg-0-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-ogdensburg-0,"Bricklayer, Mason, and Plasterer Apprentice","Bricklayer, Mason, and Plasterer","Bricklayer, Mason, and Plasterer",47-2021.00,"A Bricklayer, Mason, and Plasterer builds and finishes walls, floors, chimneys, and other surfaces using brick, stone, concrete blocks, mortar, and plaster. They measure, cut, spread, stack, smooth, and repair materials by hand, often working from scaffolds or ladders. Their work builds strong structures, protects surfaces, and keeps buildings safe and weather resistant."
bricklayers-allied-craftworkers-local-3-rochester-1-bricklayer-and-mason-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-3-rochester-1,Bricklayer and Mason Apprentice,Bricklayer and Mason,Bricklayer and Mason,47-2021.00,"A Bricklayer and Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete blocks. They measure and cut materials, spread mortar, line up each course, and check that surfaces are level and solid. Their work helps create strong buildings and keeps homes, paths, and public spaces safe and lasting."
bricklayers-allied-craftworkers-local-3-rochester-1-pointer-caulker-and-cleaner-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-3-rochester-1,"Pointer, Caulker and Cleaner Apprentice","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-2061.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of brick, stone, and concrete buildings. They rake out damaged mortar, pack in new mortar between joints, seal cracks and gaps with caulk, and wash or sandblast surfaces to remove grime and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
bricklayers-allied-craftworkers-local-3-rochester-1-tile-marble-and-terrazzo-finisher-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-3-rochester-1,"Tile, Marble, and Terrazzo Finisher Apprentice","Tile, Marble, and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher",47-2044.00,"A Tile, Marble, and Terrazzo Finisher prepares floors, walls, countertops, and stairs for tile, marble, or terrazzo installation. They spread mortar, level surfaces, patch holes, grind edges, polish finishes, and clean away extra material so everything fits smoothly. Their work helps surfaces look neat, last longer, and stay safe and durable in everyday use."
bricklayers-allied-craftworkers-local-3-rochester-1-tile-setter-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-3-rochester-1,Tile Setter Apprentice,Tile Setter,Tile Setter,47-3011.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and buildings. They measure spaces, cut tile to fit, spread mortar, set tiles in straight lines or patterns, and fill joints with grout. Their work creates durable, easy-to-clean surfaces and helps keep rooms finished, protected from moisture, and safe to use."
capital-sheet-metal-workers-jatc-local-83-0-sheet-metal-worker-apprentice,https://dol.ny.gov/news/capital-sheet-metal-workers-jatc-local-83-0,Sheet Metal Worker Apprentice,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
carpenters-jatc-nyc-vicinity-2-cabinet-maker-apprentice,https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-2,Cabinet Maker Apprentice,Cabinet Maker,Cabinet Maker,51-7011.00,"A Cabinet Maker builds and repairs cabinets, shelves, counters, and other wooden fixtures for homes, offices, and shops. They measure spaces, cut and shape wood, assemble parts, install hardware, and sand and finish surfaces for a clean fit. Their work creates sturdy storage and keeps kitchens, bathrooms, and workspaces practical and organized."
carpenters-jatc-nyc-vicinity-2-carpenter-piledriver-dockbuilder-apprentice,https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-2,Carpenter (Piledriver/Dockbuilder) Apprentice,Carpenter,Carpenter (Piledriver/Dockbuilder),47-2031.00,"A Carpenter who works as a piledriver or dockbuilder builds and repairs heavy wooden structures along shorelines and in the water. They drive piles deep into the ground, frame docks and piers, bolt timbers and steel parts together, and work from barges, cranes, and temporary platforms. Their work keeps waterfront structures strong, stable, and safe."
carpenters-jatc-nyc-vicinity-2-linoleum-resilient-tile-and-carpet-layer-apprentice,https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-2,"Linoleum, Resilient Tile, and Carpet Layer Apprentice","Linoleum, Resilient Tile, and Carpet Layer","Linoleum, Resilient Tile, and Carpet Layer",47-2042.00,"A Linoleum, Resilient Tile, and Carpet Layer installs floor coverings in homes, offices, schools, and stores. They measure rooms, prepare subfloors, cut and fit carpet, linoleum, and tile, spread adhesive, stretch carpet smooth, and trim edges neatly around walls and corners. Their work creates durable, safe, and comfortable floors that buildings use every day."
carpenters-jatc-nyc-vicinity-2-millwright-apprentice,https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-2,Millwright Apprentice,Millwright,Millwright,49-9044.00,"A Millwright installs, takes apart, repairs, and moves heavy industrial machines in places like factories, mills, and power plants. They use hoists, measuring tools, hand tools, and precision parts to line up equipment, replace worn pieces, and get machines running smoothly. Their work keeps production equipment working safely, accurately, and with less downtime."
carpenters-jatc-nyc-vicinity-3-carpenter-apprentice,https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-3,Carpenter Apprentice,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit windows, build stairs, and install cabinets, floors, and trim using hand and power tools. Their work helps create solid spaces people can live in, work in, and use safely every day."
central-new-york-electrical-training-alliance-0-electrician-apprentice,https://dol.ny.gov/news/central-new-york-electrical-training-alliance-0,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
central-new-york-electrical-training-alliance-1-electrician-apprentice,https://dol.ny.gov/news/central-new-york-electrical-training-alliance-1,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
construction-general-building-laborers-lu-79-skilled-construction-craft-laborer-apprentice,https://dol.ny.gov/news/construction-general-building-laborers-lu-79,Skilled Construction Craft Laborer Apprentice,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
construction-general-laborers-local-union-633-0-skilled-construction-craft-laborer-apprentice,https://dol.ny.gov/news/construction-general-laborers-local-union-633-0,Skilled Construction Craft Laborer Apprentice,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
eastern-millwright-regional-council-apprenticeship-training-fund-millwright-apprentice,https://dol.ny.gov/news/eastern-millwright-regional-council-apprenticeship-training-fund,Millwright Apprentice,Millwright,Millwright,49-9044.00,"A Millwright installs, takes apart, repairs, and moves heavy industrial machines in places like factories, mills, and power plants. They use hoists, measuring tools, hand tools, and precision parts to line up equipment, replace worn pieces, and get machines running smoothly. Their work keeps production equipment working safely, accurately, and with less downtime."
eastern-new-york-laborers-training-center-skilled-construction-craft-laborer-apprentice,https://dol.ny.gov/news/eastern-new-york-laborers-training-center,Skilled Construction Craft Laborer Apprentice,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
electricians-jac-binghamton-ibew-lu-325-electrician-apprentice,https://dol.ny.gov/news/electricians-jac-binghamton-ibew-lu-325,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
electricians-jac-binghamton-ibew-lu-325-1-electrician-apprentice,https://dol.ny.gov/news/electricians-jac-binghamton-ibew-lu-325-1,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
electricians-jac-buffalo-lu-41-0-electrician-apprentice,https://dol.ny.gov/news/electricians-jac-buffalo-lu-41-0,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
electricians-jac-buffalo-lu-41-0-electrician-housewire-or-residential-apprentice,https://dol.ny.gov/news/electricians-jac-buffalo-lu-41-0,Electrician (Housewire or Residential) Apprentice,Electrician,Electrician (Housewire or Residential),47-2111.00,"A residential Electrician installs, connects, tests, and repairs wiring, outlets, switches, breaker panels, and light fixtures in houses and apartments. They read plans, run cable through walls and ceilings, use hand and power tools, and check that electrical systems work properly and meet safety codes. Their work keeps homes powered, safe, and working reliably every day."
electricians-jac-elmira-lu-139-0-electrician-apprentice,https://dol.ny.gov/news/electricians-jac-elmira-lu-139-0,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
electricians-jac-ithaca-241-0-electrician-apprentice,https://dol.ny.gov/news/electricians-jac-ithaca-241-0,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
electricians-jac-watertown-local-910-0-electrician-apprentice,https://dol.ny.gov/news/electricians-jac-watertown-local-910-0,Electrician Apprentice,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
finishing-trades-institute-new-york-5-painter-and-decorator-structural-steel-bridges-apprentice,https://dol.ny.gov/news/finishing-trades-institute-new-york-5,Painter and Decorator (Structural Steel-Bridges) Apprentice,Painter and Decorator,Painter and Decorator (Structural Steel-Bridges),47-2141.00,"A Painter and Decorator working on structural steel bridges cleans, sands, blasts, and coats steel beams, railings, and other bridge parts with protective paint systems. They set up equipment, prepare surfaces, and apply finishes that resist rust, weather, and wear, often high above the ground. Their work helps keep bridges strong, safe, and lasting longer."
finishing-trades-institute-western-central-new-york-oswego-painter-decorator-paperhanger-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-new-york-oswego,"Painter, Decorator & Paperhanger Apprentice","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
finishing-trades-institute-western-central-ny-buffalo-dry-wall-taper-finisher-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-buffalo,Dry Wall Taper (Finisher) Apprentice,Drywall Taper,Dry Wall Taper (Finisher),47-2082.00,"A Drywall Taper, also called a finisher, smooths and prepares drywall walls and ceilings for painting or wallpaper. They spread joint compound over seams and screw holes, press tape into joints, sand rough spots, and blend corners until surfaces look flat and clean. Their work makes rooms look finished and keeps walls smooth, solid, and ready to use."
finishing-trades-institute-western-central-ny-buffalo-glazier-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-buffalo,Glazier Apprentice,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
finishing-trades-institute-western-central-ny-buffalo-painter-and-decorator-structural-steel-bridges-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-buffalo,Painter and Decorator (Structural Steel & Bridges) Apprentice,Painter and Decorator,Painter and Decorator (Structural Steel and Bridges),47-2141.00,"A Painter and Decorator working on structural steel and bridges prepares, paints, and coats large metal surfaces to protect them from weather and rust. They scrape old paint, sandblast steel, apply primers and finishes, and often work from lifts or scaffolds high above the ground. Their work helps keep bridges and steel structures strong, safe, and lasting longer."
finishing-trades-institute-western-central-ny-buffalo-painter-decorator-paperhanger-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-buffalo,"Painter, Decorator & Paperhanger Apprentice","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
finishing-trades-institute-western-central-ny-ithaca-glazier-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-ithaca,Glazier Apprentice,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
finishing-trades-institute-western-central-ny-ithaca-painter-decorator-paperhanger-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-ithaca,"Painter, Decorator & Paperhanger Apprentice","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
finishing-trades-institute-western-central-ny-rochester-dry-wall-taper-finisher-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-rochester,Dry Wall Taper (Finisher) Apprentice,Drywall Taper,Dry Wall Taper (Finisher),47-2082.00,"A Drywall Taper, also called a finisher, smooths and prepares drywall walls and ceilings for painting or wallpaper. They spread joint compound over seams and screw holes, press tape into joints, sand rough spots, and blend corners until surfaces look flat and clean. Their work makes rooms look finished and keeps walls smooth, solid, and ready to use."
finishing-trades-institute-western-central-ny-rochester-glazier-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-rochester,Glazier Apprentice,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
finishing-trades-institute-western-central-ny-rochester-painter-decorator-paperhanger-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-rochester,"Painter, Decorator & Paperhanger Apprentice","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
finishing-trades-institute-western-central-ny-syracuse-dry-wall-taper-finisher-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-syracuse,Dry Wall Taper (Finisher) Apprentice,Drywall Taper,Dry Wall Taper (Finisher),47-2082.00,"A Drywall Taper, also called a finisher, smooths and prepares drywall walls and ceilings for painting or wallpaper. They spread joint compound over seams and screw holes, press tape into joints, sand rough spots, and blend corners until surfaces look flat and clean. Their work makes rooms look finished and keeps walls smooth, solid, and ready to use."
finishing-trades-institute-western-central-ny-syracuse-glazier-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-syracuse,Glazier Apprentice,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
finishing-trades-institute-western-central-ny-syracuse-painter-decorator-paperhanger-apprentice,https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-syracuse,"Painter, Decorator & Paperhanger Apprentice","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
general-building-laborers-local66-skilled-construction-craft-laborer-apprentice,https://dol.ny.gov/news/general-building-laborers-local66,Skilled Construction Craft Laborer Apprentice,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
